OBJECTID,SourceOID,DiscoveryAcres,FireDiscoveryDateTime,IncidentName,x,y,POOCounty,POOState,UniqueFireIdentifier
355601,32863195,1058482.0,2024-02-26,Smokehouse Creek,-101.4330556,35.8483333,Hutchinson,US-TX,2024-TXTXS-240317
200014,2158318,250000.0,2017-03-07,OKS - Starbuck,-100.1753,36.7744440000001,Beaver,US-OK,2017-OKOKS-000527
355607,32864791,144045.0,2024-02-27,Windy Deuce,-101.8511111,35.6311111,Moore,US-TX,2024-TXTXS-240324
157186,2159175,135000.0,2017-03-07,Lefors East,-100.5388889,35.3180556,Wheeler,US-TX,2017-TXTXS-001013
275811,14529589,115997.0,2020-09-06,BOBCAT,-117.9591,34.24812,Los Angeles,US-CA,2020-CAANF-003687
200046,2159176,100000.0,2017-03-07,OKS - 283,-99.83722,36.71,Harper,US-OK,2017-OKOKS-000528
200048,2158319,60000.0,2017-03-07,OKS - Selman,-99.46944,36.640833,Harper,US-OK,2017-OKOKS-000526
277167,14342788,52010.0,2020-09-02,Sarpy,-107.0561,45.7165000000001,Big Horn,US-MT,2020-MTCRA-200897
53812,1666184,50000.0,2016-08-27,Pratice Dillan,-123.5392,41.5739600000001,Siskiyou,US-CA,2016-CASRF-001042
252834,23830375,44000.0,2022-04-22,Road 702,-100.5293,40.1558,Red Willow,US-NE,2022-NENES-220222
181950,1819860,41360.0,2016-10-16,Cottonwood CA,-102.0225,43.8969300000001,Jackson,US-SD,2016-SDSDS-160877
270587,23826552,39568.0,2022-03-29,Canadian River Bottom,-100.54257111,35.74566749,Roberts,US-TX,2022-TXTXS-222207
355608,32865191,34883.0,2024-02-26,Grape Vine Creek,-100.8301,35.4095,Gray,US-TX,2024-TXTXS-240319
113737,10571186,33763.0,2020-07-08,Meadow Valley ,-114.610333,37.1625000000001,Lincoln,US-NV,2020-NVELD-040076
233327,4853986,32215.0,2018-08-13,Goshute Cave,-114.8458,40.0628330000001,White Pine,US-NV,2018-NVELD-040203
84277,12881988,31089.0,2020-08-12,LAKE,-118.452,34.67861,Los Angeles,US-CA,2020-CAANF-003273
17828,23828099,30000.0,2022-04-07,Road 739,-99.98161,40.53966,Gosper,US-NE,2022-NENES-220183
220165,1152203,25600.0,2016-03-04,Ferguson Ranch,-96.5611,37.3522,Cowley,US-KS,2016-KSCLX-000183
223631,23867897,20112.0,2022-11-05,UNICOI GAP,-84.28613,35.22368,Cherokee,US-NC,2022-NCNCF-220256
176927,4063968,20000.0,2018-04-17,380 ,-103.4818,33.3032900000001,Lea,US-NM,2018-NMN5S-000218
217436,13200794,20000.0,2020-08-17,TAYLOR POND,-120.1145,46.6703400000001,Yakima,US-WA,2020-WAMCR-000508
255850,23826156,17267.0,2022-03-27,Crittenberg Complex,-97.6263889,31.2666667,Coryell,US-TX,2022-TXTXS-222115
301781,28022114,17000.0,2023-03-31,HWY 123,-96.12658,36.62699,Osage,US-OK,2023-OKOSA-000748
85728,858283,15160.0,2015-07-12,Suter Creek,-142.169,64.9312,Southeast Fairbanks,US-AK,2015-AKUYD-000735
210350,14341588,15000.0,2020-09-02,BobCat ,-108.3931,46.30433,Musselshell,US-MT,2020-MTLG23-200899
66836,26077990,14820.0,2022-09-10,BOLT CREEK,-121.3462,47.72821,King,US-WA,2022-WANWS-000150
283936,23868347,14342.0,2022-10-23,Ness/Ellis County,-99.64193,38.63993,Ness,US-KS,2022-KSNSX-001893
190533,15248788,14000.0,2020-09-23,Gass Flats,-107.2794,45.9924500000001,Treasure,US-MT,2020-MTLG33-201023
103957,5038371,13617.8,2018-09-22,Conner,-113.4621,42.23495,Cassia,US-ID,2018-IDCAX-000359
106776,19081999,13455.0,2020-01-24,PAIS Front Country S. FY20 RX (ADD-ON),-97.3047,27.4344,Kleberg,US-TX,2020-TXPAP-6318844
170069,23769598,13000.0,2022-03-17,Eastland Complex,-98.9369444,32.2233333,Eastland,US-TX,2022-TXTXS-221748
103638,11260780,12721.0,2020-07-19,Stewart Canyon,-114.833167,37.3100000000001,Lincoln,US-NV,2020-NVELD-040082
237646,5008367,12466.0,2018-09-13,Indian Butte,-112.3979,44.3089400000001,Clark,US-ID,2018-ID5CN-000269
90120,900319,12166.0,2015-08-02,PEAK,-123.776,41.5559000000001,Del Norte,US-CA,2015-CASRF-001479
24932,7613176,12140.0,2020-01-29,Shooting Range,-97.29272,27.47918,Kleberg,US-TX,2020-TXPAP-000028
220152,9596380,11635.1,2020-06-14,RENO,-106.400625715,43.892443272,Johnson,US-WY,2020-WYJOX-200143
102884,23831326,11584.0,2022-04-07,23 and DD,-100.4617,37.104444,Meade,US-KS,2022-KSMEX-000602
139400,11923180,11464.0,2020-07-29,Bishop,-114.6038,37.3616670000001,Lincoln,US-NV,2020-NVELD-040114
282599,1459935,11250.0,2016-07-12,Chisum Ranch,-100.91213333,35.8558,Roberts,US-TX,2016-TXTXS-001029
201334,4087174,11154.0,2018-04-22,Illegal Campfire #5,-111.913,34.8558400000001,Yavapai,US-AZ,2018-AZCOF-000250
200507,23840993,11097.2,2022-06-25,Porcupine Creek,-145.013167,64.648,Fairbanks North Star,US-AK,2022-AKFAS-211375
301785,28022118,10800.0,2023-03-31,ZINK,-96.20493,36.30688,Osage,US-OK,2023-OKOSA-000752
341481,28062807,10559.0,2023-10-24,H&H Complex,-94.0463889,29.7863889,Jefferson,US-TX,2023-TXTXS-234395
218889,23805193,10177.0,2022-03-20,Big L,-98.0034409,32.36159702,Erath,US-TX,2022-TXTXS-221839
155999,2157043,10000.0,2017-03-06,Perryton,-100.531,36.0865000000001,Lipscomb,US-TX,2017-TXTXS-001012
33181,23830372,10000.0,2022-04-23,Nebraska Spring 22,-100.7601,41.14018,Lincoln,US-NE,2022-NENES-220221
200228,23826144,10000.0,2022-03-27,Bell 2101,-97.6213889,31.2641667,Coryell,US-TX,2022-TXTXS-222101
341455,28062782,9600.0,2023-10-24,H&H North,-94.08358333,29.8423,Jefferson,US-TX,2023-TXTXS-234394
17200,3829606,9078.0,2018-01-03,Black Range - Area 74 RX,-107.8598,33.4706600000001,Sierra,US-NM,2018-NMGNF-000012
268447,23826179,8750.0,2022-03-27,LIBERTY RANCH,-96.19142,36.64734,Osage,US-OK,2022-OKOSA-000946
29701,982157,8700.0,2015-08-14,Eustis - MT-HDC,-111.442,46.0552000000001,Broadwater,US-MT,2015-MTBZC-000094
268886,10875180,8602.0,2020-07-13,Big Summit,-114.1107,37.8893830000001,Lincoln,US-NV,2020-NVELD-040078
358313,32964866,8410.0,2024-03-15,ZINK,-96.274915,36.309915,Osage,US-OK,2024-OKOSA-000758
301931,28022264,8118.0,2023-04-04,Bent Willow,-101.98271098,35.36980481,Potter,US-TX,2023-TXTXS-231329
35350,19537189,8000.0,2021-05-03,Stateline Strawberry RX,-120.8816,42.0994700000001,Klamath,US-OR,2021-ORFWF-210024
301576,28021909,8000.0,2023-03-31,TIMBER HILL,-96.43076,36.66217,Osage,US-OK,2023-OKOSA-000732
329282,28049606,8000.0,2023-08-11,Campbell,-98.69302549,33.40514575,Archer,US-TX,2023-TXTXS-233077
236427,1576471,7695.0,2016-08-08,Overland,-115.6258,39.9661110000001,White Pine,US-NV,2016-NVELD-040130
104994,22666792,7500.0,2021-12-10,Arrowhead,-98.29397804,33.8531034150001,Clay,US-TX,2021-TXTXS-213514
273532,3337986,7100.0,2017-07-21,Yooper,-104.7345,48.06199,Richland,US-MT,2017-MTMCD-000259
204270,15895988,7000.0,2020-10-11,Jackalope,-100.9313,35.6882000000001,Roberts,US-TX,2020-TXTXS-200739
358806,32965359,6975.0,2024-03-15,ALRED,-96.385833,36.5705,Osage,US-OK,2024-OKOSA-000808
37522,7277584,6634.0,2018-08-31,FDH-MTLG17254,-105.408333,48.3527780000001,Roosevelt,US-MT,2018-MTLG17-000254
225967,3183818,6506.18,2017-06-26,Cole Creek,-116.118617,40.5855,Elko,US-NV,2017-NVEKD-010108
98346,865242,6500.0,2015-07-19,Mingvk Lake,-164.533,65.4167,Nome,US-AK,2015-AKGAD-000772
224370,1068893,6400.0,2015-11-11,62nd Road,-96.84,37.3892000000001,Cowley,US-KS,2015-KSCLX-001618
260106,935441,6300.0,2015-08-14,Eustis,-111.442101,46.055302,Broadwater,US-MT,2015-MTCES-000184
97995,3827874,6000.0,2018-02-03,EAST BUFORD,-96.46444,36.42078,Osage,US-OK,2018-OKOSA-000226
200314,20367191,6000.0,2021-07-09,Peterson,-107.8441,46.4724400000001,Musselshell,US-MT,2021-MTLG23-210280
199294,19019191,6000.0,2021-03-18,King,-98.0876289999999,26.953071,Brooks,US-TX,2021-TXTXS-210983
175723,5826370,6000.0,2019-03-07,Collins Park RX-D6,-108.4434,33.6323800000001,Catron,US-NM,2019-NMGNF-000049
135364,23474789,6000.0,2022-02-22,28123,-100.691166667,36.088666667,Ochiltree,US-TX,2022-TXTXS-221202
36173,2160195,6000.0,2017-03-05,Reno County,-97.8595,38.10114,Reno,US-KS,2017-KSRNX-000266
344123,28065452,5925.0,2023-11-11,Scott County- Huntsville- 6561 Smokey Creek Road-,-84.4005556,36.2227778,Scott,US-TN,2023-TNTNS-231141
3661,1515685,5662.0,2016-07-26,Vineyard 2,-112.7311111,47.1647222,Lewis and Clark,US-MT,2016-MTCES-000158
182202,13819988,5640.0,2020-08-24,Sage,-105.887194444,48.180722222,Valley,US-MT,2020-MTFPA-200100
280903,1506746,5629.0,2016-07-23,Lower Ebbs,-112.1807,39.17528,Millard,US-UT,2016-UTFIF-006146
297452,27842390,5569.0,2023-02-26,Big Fin Flats,-102.71262,35.27324,Oldham,US-TX,2023-TXTXS-230620
5285,7748786,5413.0,2020-02-29,OK PAYNE LAKE,-87.4530599999999,32.8881500000001,Hale,US-AL,2020-ALALF-000064
69362,1283823,5409.0,2016-05-05,Paliza RXBP,-106.5791,35.7023,Sandoval,US-NM,2016-NMSNF-000094
42719,23858518,5208.0,2022-08-31,ROUTE,-118.6433,34.51935,Los Angeles,US-CA,2022-CAANF-002884
82429,3459445,5191.0,2017-08-28,South Fork BAER,-119.5984,37.5375700000001,Mariposa,US-CA,2017-CAYNP-000117
335317,28055642,5075.0,2023-09-08,Cowan,-99.07153535,33.63200888,Baylor,US-TX,2023-TXTXS-234012
289448,4692376,5052.0,2018-07-14,FERGUSON ,-119.8811,37.6519500000001,Mariposa,US-CA,2018-CASNF-000745
141617,23030389,5000.0,2022-01-15,Mill Creek,-99.2499999999999,32.8700000000001,Shackelford,US-TX,2022-TXTXS-220269
200241,23770790,5000.0,2022-03-17,Kidd,-98.8291333,32.33495,Eastland,US-TX,2022-TXTXS-221743
122782,18724788,5000.0,2021-02-10,North Jones,-98.409264,26.978645,Brooks,US-TX,2021-TXTXS-210420
248282,21765589,5000.0,2021-09-29,Badger Hole,-105.799528,48.1891670000001,Roosevelt,US-MT,2021-MTFPA-000561
93944,3188477,5000.0,2017-06-28,Centennial,-115.5407,42.8204000000001,Owyhee,US-ID,2017-IDMHQ-000151
31718,19625589,5000.0,2021-05-10,Oriana RX,-120.9483,42.18712,Klamath,US-OR,2021-ORFWF-210027
14742,1195523,5000.0,2016-04-05,350 Complex,-99.3582,36.5102010000001,Woodward,US-OK,2016-OKOKS-000364
77044,4022371,5000.0,2018-04-13,DESCHUTES RX 0094,-121.2607,44.09164,Deschutes,US-OR,2018-ORDEF-000094
87846,23828053,5000.0,2022-04-07,Britt,-100.0569444,35.4447222,Wheeler,US-TX,2022-TXTXS-222445
258157,4779172,5000.0,2018-07-28,AREA 19,-116.2393,37.2286300000001,Nye,US-NV,2018-NVNTE-580334
183755,1163908,5000.0,2016-03-17,Rd 80,-96.308998,38.2818980000001,Lyon,US-KS,2016-KSLYX-000257
170267,807259,5000.0,2015-06-26,Melogitna,-154.8,65.2833000000001,Yukon-Koyukuk,US-AK,2015-AKGAD-000647
55074,3632138,5000.0,2017-10-24,2017 HMF RXM2,-85.52,44.1867700000001,Wexford,US-MI,2017-MIHMF-170235
92067,992420,5000.0,2015-09-14,Crater Creek,-98.6025,34.6858,Comanche,US-OK,2015-OKWMR-000261
57117,3719782,5000.0,2017-12-06,RYE,-118.6179,34.4081200000001,Los Angeles,US-CA,2017-CACDD-020957
181757,23768799,5000.0,2022-03-17,Chico Lane,-101.41477442,31.10610138,Reagan,US-TX,2022-TXTXS-221724
25729,5973570,4986.0,2019-04-16,RX BURN UNITS 3 6 8 8A 9 9A,-95.254068,48.0057320000001,Clearwater,US-MN,2019-MNRLA-000025
233965,849923,4963.0,2015-07-12,South Sarpy,-107.156,45.7808000000001,Big Horn,US-MT,2015-MTLG22-015411
354460,32784792,4806.0,2024-02-20,Bridges RX,-91.088604,36.830784,Carter,US-MO,2024-MOMTF-000058
139141,23826487,4728.0,2022-03-28,BIRCH CREEK,-96.19237,36.48993,Osage,US-OK,2022-OKOSA-000977
26412,7743983,4655.0,2020-02-27,C-16/17/18/19,-95.17715,31.5184600000001,Houston,US-TX,2020-TXTXF-000065
16024,23835233,4600.0,2022-04-13,Lost Bear Rx FY2022,-82.19244911,35.7338904,McDowell,US-NC,2022-NCBRP-NCF220151
332362,28052687,4520.0,2023-08-23,Churchill,-101.18662,34.81037,Armstrong,US-TX,2023-TXTXS-233510
281726,3903333,4500.0,2018-03-19,Channing,-102.28366666,35.7091666600001,Hartley,US-TX,2018-TXTXS-000268
60084,23870641,4500.0,2022-12-06,Rohrbach,-99.50973,45.35065,Edmunds,US-SD,2022-SDSDS-220876
186812,23830588,4500.0,2022-04-22,County Road R,-102.5461,40.05809,Yuma,US-CO,2022-COYMX-000155
260998,2137447,4480.0,2017-02-23,2017-117,-100.9927778,37.9277778000001,Finney,US-KS,2017-KSFIX-000172
253871,18935197,4434.0,2021-03-09,Big Rocks,-115.000883,37.739833,Lincoln,US-NV,2021-NVELD-040007
334245,28054570,4428.0,2023-09-01,Game Preserve,-95.6277778,30.8558333,Walker,US-TX,2023-TXTXS-233804
66430,3577104,4297.0,2017-09-28,BU 9,-84.81423,30.27885,Liberty,US-FL,2017-FLFNF-001386
95453,6223575,4263.0,2019-05-24,NW SANDS UNITS I/F/C/A,-91.300167,46.6397830000001,Bayfield,US-WI,2019-WICNF-190046
103993,23866357,4240.0,2022-10-22,SOUTH SOONER LAKE,-97.00576,36.34438,Pawnee,US-OK,2022-OKPAA-002924
10725,3909644,4203.0,2018-03-23,C-37/38/39,-93.1077779999999,31.426944,Natchitoches,US-LA,2018-LAKIF-000137
271920,872766,4200.0,2015-07-20,Blue Creek,-118.117699,46.0670010000001,Walla Walla,US-WA,2015-WASES-000653
166350,1438552,4140.0,2016-07-07,BACA,-113.2625,34.92578,Yavapai,US-AZ,2016-AZA5S-004668
355092,28076427,4012.0,2024-02-24,North CIG,-101.861364,35.627622,Moore,US-TX,2024-TXTXS-240251
7880,4655975,4001.0,2018-07-06,LIONS BAER,-119.1268,37.5653800000001,Madera,US-CA,2018-CASNF-000680
170305,3887824,4000.0,2018-03-08,Stateline,-103.0613,36.921389,Union,US-NM,2018-NMN2S-000055
219049,3912389,3951.0,2018-03-24,DRUMB,-96.33361,36.5050000000001,Osage,US-OK,2018-OKOSA-000736
116701,7751575,3950.0,2020-03-01,Longfellow Nine Mile Complex,-102.5611478,30.2257754,Terrell,US-TX,2020-TXTXS-200065
327314,28047640,3950.0,2023-08-03,Laguna Larga,-97.980698,27.311916,Kleberg,US-TX,2023-TXTXS-232751
133665,23827012,3900.0,2022-04-01,Dubbs Creek,-100.3613889,35.4877778,Wheeler,US-TX,2022-TXTXS-222279
177513,3886249,3900.0,2018-03-06,DOUBLE 60,-96.1815799999999,36.7544500000001,Osage,US-OK,2018-OKOSA-000422
210753,23861252,3900.0,2022-09-15,Miller Ranch,-99.73412,37.27133,Clark,US-KS,2022-KSCAX-001667
326346,28046673,3883.0,2023-07-31,Little Mesa,-108.33315,38.655052,Montrose,US-CO,2023-COUPD-000186
307583,28027923,3807.0,2023-02-06,Mogote,-104.701517,35.885852,Mora,US-NM,2023-NMN4S-000024
49590,4023168,3803.0,2018-04-15,C-48/372,-92.5546669999999,31.1051670000001,Rapides,US-LA,2018-LAKIF-000158
282983,23830467,3800.0,2022-04-22,FF,-103.1158,39.031111,Cheyenne,US-CO,2022-COCYX-000556
60174,7778790,3779.0,2020-03-08,OK Pipeline ,-87.4530599999999,33.0224200000001,Tuscaloosa,US-AL,2020-ALALF-000080
148672,7747995,3710.0,2020-02-28,DE SOTO - BB 9303,-89.0098599999999,31.14822,Perry,US-MS,2020-MSMNF-000074
74365,3951169,3685.0,2018-01-24,Black Range - Indian Peaks RX,-108.0111,33.56388,Catron,US-NM,2018-NMGNF-000036
36687,7748383,3675.0,2020-02-29,OK Combined 15/16/18,-87.44505,32.98283,Hale,US-AL,2020-ALALF-000062
61749,7613177,3611.0,2020-01-29,Smith Marsh,-95.57499,28.8230600000001,Matagorda,US-TX,2020-TXBRR-000029
36948,7747978,3578.0,2020-02-28,Boles Field SW Rx,-94.02163,31.7572200000001,Shelby,US-TX,2020-TXTXF-000069
332510,28052835,3562.0,2023-08-24,Shearwood Creek,-94.20992915,31.03372973,Jasper,US-TX,2023-TXTXS-233525
